% time	cellId	Interference
0.351929	4	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 7.63453e-17 7.63453e-17 7.63453e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.66967e-18 2.66967e-18 2.66967e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 4.26496e-18 4.26496e-18 4.26496e-18 3.46786e-18 3.46786e-18 3.46786e-18 2.451e-18 2.451e-18 2.451e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.21761e-18 1.21761e-18 1.21761e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.352929	3	1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.08035e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 1.59894e-16 
0.352929	1	1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 1.56795e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 2.4653e-18 6.61729e-18 6.61729e-18 6.61729e-18 9.54764e-17 9.54764e-17 9.54764e-17 2.4653e-18 2.4653e-18 
0.352929	5	2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 2.4363e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.0482e-18 5.1383e-18 5.1383e-18 5.1383e-18 5.92508e-18 5.92508e-18 5.92508e-18 5.0482e-18 5.0482e-18 
0.352929	2	3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 3.11647e-18 5.8179e-17 5.8179e-17 5.8179e-17 5.23687e-18 5.23687e-18 5.23687e-18 3.11647e-18 3.11647e-18 
0.353929	3	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.26692e-20 1.25893e-20 1.25893e-20 
0.353929	7	9.16174e-16 9.16174e-16 9.16174e-16 7.32628e-16 7.32628e-16 7.32628e-16 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.0358e-15 1.0358e-15 1.0358e-15 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.354929	3	1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 1.95201e-17 
0.354929	1	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 9.37201e-17 9.37201e-17 9.37201e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.40281e-18 1.40281e-18 1.40281e-18 6.22582e-19 6.22582e-19 6.22582e-19 1.25893e-20 1.25893e-20 1.25893e-20 1.21724e-18 1.21724e-18 1.21724e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 3.51961e-17 3.51961e-17 3.51961e-17 1.95537e-18 1.95537e-18 1.95537e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.355929	3	4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 4.26895e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 2.44685e-17 
0.355929	5	1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 1.46667e-18 2.3458e-18 2.3458e-18 2.3458e-18 3.81889e-18 3.81889e-18 3.81889e-18 3.77798e-18 3.77798e-18 3.77798e-18 1.46667e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 4.32541e-19 4.32541e-19 4.32541e-19 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.355929	4	1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 5.31716e-18 5.31716e-18 5.31716e-18 3.07528e-17 3.07528e-17 3.07528e-17 7.83721e-17 7.83721e-17 7.83721e-17 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 2.01625e-18 2.01625e-18 2.01625e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 1.05862e-18 
0.356929	3	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.357929	3	3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 3.60065e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 4.46534e-17 
0.357929	5	6.42699e-18 6.42699e-18 6.42699e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.12332e-18 1.12332e-18 1.12332e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.94954e-18 1.94954e-18 1.94954e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 4.28962e-18 4.28962e-18 4.28962e-18 2.87969e-17 2.87969e-17 2.87969e-17 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 1.0689e-18 
0.357929	2	1.08384e-16 1.08384e-16 1.08384e-16 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 8.77332e-19 4.70755e-18 4.70755e-18 4.70755e-18 8.77332e-19 8.77332e-19 8.77332e-19 3.01513e-18 3.01513e-18 3.01513e-18 8.77332e-19 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 3.44593e-17 3.44593e-17 3.44593e-17 1.46523e-18 1.46523e-18 1.46523e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 1.38694e-18 
0.358929	3	1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.74107e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.358929	4	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 7.80699e-17 7.80699e-17 7.80699e-17 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.66967e-18 2.66967e-18 2.66967e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.14244e-18 2.14244e-18 2.14244e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.359929	3	1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.360929	3	1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 1.04621e-16 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 8.80068e-17 
0.360929	5	2.79757e-17 2.79757e-17 2.79757e-17 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 1.08372e-18 1.08372e-18 1.08372e-18 9.81315e-19 9.81315e-19 9.81315e-19 9.81315e-19 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 2.08282e-18 2.08282e-18 2.08282e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
0.360929	4	3.8123e-18 3.8123e-18 3.8123e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 3.39609e-18 3.39609e-18 3.39609e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 5.44252e-18 5.44252e-18 5.44252e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 2.60728e-18 
0.361929	3	5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 5.74806e-18 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 1.25893e-20 
