% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.204214	3	31	0	4.13913e-10	872605	0
0.204214	3	32	0	4.35635e-10	918398	0
0.204214	3	33	0	3.37336e-10	711168	0
0.204214	3	34	0	3.57093e-10	752819	0
0.204214	3	40	0	2.73112e-10	575770	0
0.204214	3	49	0	4.76199e-10	1.00392e+06	0
0.204214	3	52	0	2.4262e-10	511487	0
0.204214	3	53	0	3.67198e-10	774121	0
0.204214	3	54	0	4.41791e-10	931378	0
0.204214	3	55	0	3.15593e-10	665328	0
0.204214	3	56	0	3.21638e-10	678073	0
0.204214	3	58	0	3.92588e-10	827649	0
0.204214	3	59	0	3.30506e-10	696768	0
0.204214	3	60	0	3.9706e-10	837076	0
0.204214	4	21	0	5.22893e-10	1.10236e+06	0
0.204214	4	23	0	5.3887e-10	1.13604e+06	0
0.204214	4	24	0	5.91134e-10	1.24622e+06	0
0.204214	4	29	0	3.18987e-10	672484	0
0.204214	4	30	0	8.8283e-10	1.86117e+06	0
0.204214	5	11	0	5.13757e-10	1.0831e+06	0
0.204214	5	12	0	5.82023e-10	1.22701e+06	0
0.204214	5	18	0	5.20434e-10	1.09717e+06	0
0.204214	5	19	0	3.27688e-10	690826	0
0.204214	5	51	0	4.1733e-10	879810	0
0.204214	6	4	0	4.166e-10	878270	0
0.204214	6	6	0	7.47903e-10	1.57672e+06	0
0.204214	6	41	0	6.74803e-06	1.42261e+10	0
0.204214	7	42	0	6.74803e-06	1.42261e+10	0
0.204214	7	44	0	6.74803e-06	1.42261e+10	0
0.204214	7	50	0	4.03031e-10	849664	0
0.204214	8	16	0	2.47651e-10	522093	0
0.204214	8	17	0	1.70243e-09	3.58904e+06	0
0.204214	8	43	0	6.74803e-06	1.42261e+10	0
0.204214	9	20	0	9.03617e-10	1.90499e+06	0
0.204214	10	36	0	5.05846e-10	1.06642e+06	0
0.204214	10	38	0	4.984e-10	1.05072e+06	0
0.204214	10	45	0	6.74803e-06	1.42261e+10	0
0.204214	11	46	0	6.74803e-06	1.42261e+10	0
0.204214	11	57	0	7.28542e-10	1.5359e+06	0
